Rk,Player,From,To,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Michael Jordan*,1985,2003,1072,1039,41011,12192,24537,0.497,581,1778,0.327,11611,22759,0.51,0.509,7327,8772,0.835,1668,5004,6672,5633,2514,893,2924,2783,32292
2,Shaquille O'Neal*,1993,2007,981,972,35926,10091,17394,0.58,1,20,0.05,10090,17374,0.581,0.58,5271,10038,0.525,3715,7664,11379,2701,627,2432,2800,3376,25454
